Reach_ID,Node_ID,X,Y,Time (dd-mm-yyyy),Q (m^3/s daily),Qu (m),D (m),Du (m),V (m/s),Vu (m/s)
74267400011,74267400010261,-85.184248251725100,38.684855200023600,    '07-05-2011',956.8843689,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010271,-85.184248251725100,38.684855200023600,    '27-05-2011',987.4121094,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010281,-85.184248251725100,38.684855200023600,    '28-05-2011',888.1751709,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010291,-85.184248251725100,38.684855200023600,    '17-06-2011',47.11930466,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010301,-85.184248251725100,38.684855200023600,    '18-06-2011',46.15363312,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010311,-85.184248251725100,38.684855200023600,    '08-07-2011',68.23630524,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010321,-85.184248251725100,38.684855200023600,    '09-07-2011',85.63061523,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010331,-85.184248251725100,38.684855200023600,    '29-07-2011',128.8996162,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010331,-85.184248251725100,38.684855200023600,    '30-07-2011',134.8496094,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010331,-85.184248251725100,38.684855200023600,    '19-08-2011',51.87376785,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010331,-85.184248251725100,38.684855200023600,    '19-08-2011',51.87376785,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,'30-09-1980',14.393,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '01-10-1980',13.859,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '02-10-1980',13.547,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '03-10-1980',13.593,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '04-10-1980',13.545,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '05-10-1980',12.795,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '06-10-1980',14.858,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '07-10-1980',27.47,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '08-10-1980',22.665,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '09-10-1980',23.337,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '10-10-1980',29.631,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '11-10-1980',44.919,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '12-10-1980',38.846,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '13-10-1980',31.952,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '14-10-1980',28.951,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '15-10-1980',28.286,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '16-10-1980',30.24,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '17-10-1980',32.613,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '18-10-1980',33.35,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '19-10-1980',27.881,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '20-10-1980',26.022,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '21-10-1980',24.415,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '22-10-1980',25.608,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '23-10-1980',36.452,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '24-10-1980',51.407,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '25-10-1980',43.587,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '26-10-1980',36.566,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '27-10-1980',33.041,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '28-10-1980',30.021,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '29-10-1980',29.066,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '30-10-1980',26.506,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '31-10-1980',23.995,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '01-11-1980',23.088,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '02-11-1980',21.747,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '03-11-1980',20.501,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '04-11-1980',19.333,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '05-11-1980',20.174,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '06-11-1980',19.646,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '07-11-1980',18.421,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '08-11-1980',17.758,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '09-11-1980',17.401,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '10-11-1980',17.369,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '11-11-1980',16.262,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '12-11-1980',15.989,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '13-11-1980',15.932,-9999,-9999,-9999,-9999,-9999
23267000131,-9999,7.800342964492560,48.517893002465500,    '14-11-1980',18.099,-9999,-9999,-9999,-9999,-9999
